Field,Poly,0.5580,0.4830,0.6340,0.4330,0.6850
0.0,27.7102,28.546728,31.19011,24.075848,28.017234,21.148473
1.4,27.755313,28.586842,31.241689,24.108677,28.080099,21.17771
2.8,27.885462,28.702181,31.390907,24.202726,28.263291,21.261333
4.2,28.085079,28.877693,31.621144,24.344643,28.550487,21.387036
5.6,28.328239,29.088139,31.904513,24.512036,28.914128,21.534172
7.0,28.578737,29.297915,32.201654,24.673298,29.315067,21.673579
8.4,28.790295,29.460857,32.461566,24.787417,29.702378,21.767402
9.8,28.907026,29.520107,32.621583,24.803829,30.013612,21.768946
11.2,28.864404,29.408125,32.607686,24.662375,30.175834,21.62266
12.6,28.591196,29.047007,32.335398,24.293512,30.108054,21.264371
14.0,28.013319,28.349401,31.711844,23.619017,29.726204,20.622046
15.4,27.061712,27.220724,30.640141,22.553798,28.953165,19.617733
16.8,25.68893,25.564274,29.028932,21.010257,27.739362,18.172312
18.2,23.905508,23.293479,26.813953,18.909222,26.106213,16.217673
19.6,21.860448,20.36381,24.009732,16.210128,24.234946,13.731626
21.0,34.604317,16.866305,20.834308,13.008173,99.942456,10.85565
